
Host                                            Status       Expires      Days
d2l.parkland.edu:443                            Valid        Apr 15 2013  168                                
d2l.pima.edu:443                                Valid        Jul 8 2015   982                                
www.dermatology.org.uk:443                      Connection refused Unknown                                         
mcgill.desire2learn.com:443                     Valid        Feb 8 2015   832                                
sso2.identity.uoguelph.ca:443                   Valid        Mar 22 2013  144                                
d2l.laurentian.ca:443                           Valid        May 29 2013  212                                
elearning.lasierra.edu:443                      Valid        Dec 17 2012  49                                 
uscbknpt.desire2learn.com:443                   Valid        Jul 23 2013  267                                
hcs.hrvlc.org:443                               Valid        Nov 26 2013  393                                
iwcs.hrvlc.org:443                              Valid        Nov 26 2013  393                                
d2lprod.service-now.com:443                     Valid        Oct 2 2013   338                                
d2lhelp.view.usg.edu:443                        Valid        Aug 4 2013   279                                
hpedsb.elearningontario.ca:443                  Valid        Oct 10 2013  346                                
hscdsb.elearningontario.ca:443                  Valid        Oct 10 2013  346                                
sgdsb.elearningontario.ca:443                   Valid        Oct 10 2013  346                                
hwcdsb.elearningontario.ca:443                  Valid        Oct 10 2013  346                                
hwdsb.elearningontario.ca:443                   Valid        Oct 10 2013  346                                
d2l.nwfsc.edu:443                               Valid        Aug 3 2013   278                                
uscga.desire2learn.com:443                      Valid        Jul 23 2013  267                                
ACPSchools.hrvlc.org:443                        Valid        Nov 26 2013  393                                
cpschools.hrvlc.org:443                         Valid        Nov 26 2013  393                                
gcps.hrvlc.org:443                              Valid        Nov 26 2013  393                                
ncps.hrvlc.org:443                              Valid        Nov 26 2013  393                                
nnps.hrvlc.org:443                              Valid        Nov 26 2013  393                                
nps.hrvlc.org:443                               Valid        Nov 26 2013  393                                
pcps.desire2learn.com:443                       Valid        Jul 23 2013  267                                
pps.hrvlc.org:443                               Valid        Nov 26 2013  393                                
southampton.hrvlc.org:443                       Valid        Nov 26 2013  393                                
secep.hrvlc.org:443                             Valid        Nov 26 2013  393                                
spsk12.hrvlc.org:443                            Valid        Nov 26 2013  393                                
sussex.hrvlc.org:443                            Valid        Nov 26 2013  393                                
vbschools.hrvlc.org:443                         Valid        Nov 26 2013  393                                
wjcc.hrvlc.org:443                              Valid        Nov 26 2013  393                                
desire2learn.4cd.edu:443                        Valid        Jan 27 2015  820                                
fhecommunity.desire2learn.com:443               Valid        Jul 23 2013  267                                
pathways4u.desire2learn.com:443                 Valid        Jul 23 2013  267                                
edfuture.desire2learn.com:443                   Valid        Jul 23 2013  267                                
d2l.chipola.edu:443                             Valid        Aug 14 2015  1019                               
online.fkcc.edu:443                             Valid        Aug 6 2013   281                                
oes.desire2learn.com:443                        Valid        Jul 23 2013  267                                
mbmjconnect.desire2learn.com:443                Valid        Jul 23 2013  267                                
hmh.desire2learn.com:443                        Valid        Jul 23 2013  267                                
polk.desire2learn.com:443                       Valid        Jul 23 2013  267                                
elearn.jcsd1.us:443                             Valid        Aug 17 2016  1388                               
learn.uwaterloo.ca:443                          Valid        Jul 25 2014  634                                
worldclass.regis.edu:443                        Valid        Aug 25 2013  300                                
learning.cica.ca:443                            Valid        Jul 4 2014   613                                
ccps.mdk12online.org:443                        Valid        Jul 23 2013  267                                
elearn.apsu.edu:443                             Valid        Mar 29 2013  151                                
elearn.clevelandstatecc.edu:443                 Valid        Mar 29 2013  151                                
elearn.columbiastate.edu:443                    Valid        Mar 28 2013  150                                
elearn.chattanoogastate.edu:443                 Valid        Mar 30 2013  152                                
elearn.dscc.edu:443                             Valid        Mar 28 2013  150                                
elearn.etsu.edu:443                             Valid        Apr 19 2013  172                                
elearn.jscc.edu:443                             Valid        Mar 29 2013  151                                
elearn.mscc.edu:443                             Valid        Mar 29 2013  151                                
elearn.mtsu.edu:443                             Valid        Mar 28 2013  150                                
elearn.nscc.edu:443                             Valid        Mar 28 2013  150                                
elearn.northeaststate.edu:443                   Valid        Mar 29 2013  151                                
elearn.pstcc.edu:443                            Valid        Mar 28 2013  150                                
elearn.rocewf.org:443                           Valid        Mar 28 2013  150                                
elearn.rodp.org:443                             Valid        Mar 28 2013  150                                
elearn.roanestate.edu:443                       Valid        Mar 30 2013  152                                
eLearn.southwest.tn.edu:443                     Valid        Mar 29 2013  151                                
elearn.tbronline.org:443                        Valid        Mar 27 2013  149                                
elearn.tnstate.edu:443                          Valid        Mar 29 2013  151                                
elearn.ttcworkforce.org:443                     Valid        Mar 28 2013  150                                
elearn.tntech.edu:443                           Valid        Mar 29 2013  151                                
elearn.memphis.edu:443                          Valid        Apr 19 2013  172                                
elearn.volstate.edu:443                         Valid        Mar 30 2013  152                                
elearn.ws.edu:443                               Valid        Mar 28 2013  150                                
avenue.cllmcmaster.ca:443                       Valid        Jun 15 2015  959                                
www.myproductivitynow.com:443                   Valid        Feb 24 2013  118                                
myacademy.pg.com:443                            Valid        Jul 16 2013  260                                
conestoga.desire2learn.com:443                  Valid        Jul 23 2013  267                                
lmscloud.desire2learndemo.com:443               Valid        May 15 2015  928                                
