
Host                                            Status       Expires      Days
durhamrc.elearningontario.ca:443                Valid        Oct 10 2013  321                                
courses.elearningontario.ca:443                 Valid        Oct 10 2013  321                                
trainingsite.elearningontario.ca:443            Valid        Oct 10 2013  321                                
GECDSB.elearningontario.ca:443                  Valid        Oct 10 2013  321                                
GEDSB.elearningontario.ca:443                   Valid        Oct 10 2013  321                                
hcdsb.elearningontario.ca:443                   Valid        Oct 10 2013  321                                
HDSB.elearningontario.ca:443                    Valid        Oct 10 2013  321                                
HPCDSB.elearningontario.ca:443                  Valid        Oct 10 2013  321                                
YRDSB.elearningontario.ca:443                   Valid        Oct 10 2013  321                                
gadoe.desire2learn.com:443                      Valid        Jul 23 2013  242                                
georgiasouthern.desire2learn.com:443            Valid        Jul 23 2013  242                                
ehacc.hacc.edu:443                              Valid        Jul 26 2013  245                                
otc.desire2learn.com:443                        Valid        Jul 23 2013  242                                
learningspace.ial.edu.sg:443                    Valid        Apr 6 2013   134                                
tvdsb-wlu.desire2learn.com:443                  Valid        Jul 23 2013  242                                
d2l.langara.bc.ca:443                           Valid        Nov 21 2016  1459                               
D2L.lcc.edu:443                                 Valid        Jul 10 2014  594                                
d2l.macu.edu:443                                Valid        Nov 11 2014  718                                
my.marymountpv.edu:443                          Valid        Aug 20 2014  635                                
njvs.desire2learn.com:443                       Valid        Jul 23 2013  242                                
NMHU.desire2learn.com:443                       Valid        Jul 23 2013  242                                
learn.noodle.org:443                            Valid        Sep 28 2013  309                                
oaklandcc.desire2learn.com:443                  Valid        Jul 23 2013  242                                
d2l.oru.edu:443                                 Valid        Feb 16 2015  815                                
oupprod.desire2learn.com:443                    Valid        Dec 2 2015   1104                               
d2l.parkland.edu:443                            Valid        Apr 15 2013  143                                
d2l.pima.edu:443                                Valid        Jul 8 2015   957                                
www.dermatology.org.uk:443                      Connection refused Unknown                                         
mcgill.desire2learn.com:443                     Valid        Feb 8 2015   807                                
sso2.identity.uoguelph.ca:443                   Valid        Mar 22 2013  119                                
d2l.laurentian.ca:443                           Valid        May 29 2013  187                                
elearning.lasierra.edu:443                      Expiring     Dec 17 2012  24                                 
uscbknpt.desire2learn.com:443                   Valid        Jul 23 2013  242                                
hcs.hrvlc.org:443                               Valid        Nov 26 2013  368                                
iwcs.hrvlc.org:443                              Valid        Nov 26 2013  368                                
d2lprod.service-now.com:443                     Valid        Oct 2 2013   313                                
d2lhelp.view.usg.edu:443                        Valid        Aug 4 2013   254                                
hpedsb.elearningontario.ca:443                  Valid        Oct 10 2013  321                                
hscdsb.elearningontario.ca:443                  Valid        Oct 10 2013  321                                
sgdsb.elearningontario.ca:443                   Valid        Oct 10 2013  321                                
hwcdsb.elearningontario.ca:443                  Valid        Oct 10 2013  321                                
hwdsb.elearningontario.ca:443                   Valid        Oct 10 2013  321                                
d2l.nwfsc.edu:443                               Valid        Aug 3 2013   253                                
uscga.desire2learn.com:443                      Valid        Jul 23 2013  242                                
ACPSchools.hrvlc.org:443                        Valid        Nov 26 2013  368                                
